Date,CASS,LA,AUTOINV,HH,RETAILINV,Gold,Computer,LAP,AUTOINVP,HHP,RETAILINVP,GoldP,ComputerP
1/1/2014,2.246,360036.6,2.918,4.68,1.46,2.16,21545,0,0,0,0,0,0
2/1/2014,2.237,284812.35,2.989,4.84,1.44,2.61,21254,-0.2089,0.0243,0.0356,-0.0137,0.2076,-0.0135
3/1/2014,2.246,327497.05,2.791,4.89,1.43,3.22,21560,0.1499,-0.0662,0.0089,-0.0069,0.2317,0.0144
4/1/2014,2.268,364126.05,2.771,4.55,1.42,3.13,21674,0.1118,-0.0072,-0.0696,-0.007,-0.0285,0.0053
5/1/2014,2.314,351403.6,2.629,4.72,1.42,2.42,20805,-0.0349,-0.0512,0.039,0,-0.227,-0.0401
6/1/2014,2.311,382666.15,2.468,4.7,1.42,3,21813,0.089,-0.0612,-0.0045,0,0.2397,0.0484
7/1/2014,2.295,363393.5,2.645,4.62,1.43,2.75,21178,-0.0504,0.0717,-0.0177,0.007,-0.0833,-0.0291
8/1/2014,2.279,383551.35,2.503,4.43,1.42,2.57,21622,0.0555,-0.0537,-0.0414,-0.007,-0.064,0.021
9/1/2014,2.303,411506.95,2.613,4.63,1.43,2.21,21161,0.0729,0.0439,0.0456,0.007,-0.141,-0.0213
10/1/2014,2.289,370938.2,2.565,4.46,1.43,2.29,20638,-0.0986,-0.0184,-0.037,0,0.0359,-0.0247
11/1/2014,2.258,333152.95,2.575,4.75,1.43,2.29,19832,-0.1019,0.0039,0.065,0,0.0003,-0.0391
12/1/2014,2.255,336674.95,2.522,4.12,1.44,2.24,19989,0.0106,-0.0206,-0.133,0.007,-0.0218,0.0079
1/1/2015,2.252,259206.45,2.687,3.8,1.45,2.33,19683,-0.2301,0.0654,-0.0759,0.0069,0.0383,-0.0153
2/1/2015,2.231,254225.3,2.829,4.51,1.46,2.68,19430,-0.0192,0.0528,0.1868,0.0069,0.1528,-0.0129
3/1/2015,2.282,430898.05,2.618,3.78,1.44,2.31,21180,0.6949,-0.0746,-0.1621,-0.0137,-0.1401,0.0901
4/1/2015,2.218,328140.25,2.685,3.96,1.45,2.4,20645,-0.2385,0.0256,0.0475,0.0069,0.0391,-0.0253
5/1/2015,2.245,348427,2.595,4.29,1.44,2.6,20134,0.0618,-0.0335,0.0827,-0.0069,0.0836,-0.0248
6/1/2015,2.253,368708.5,2.595,3.46,1.44,2.46,20748,0.0582,0,-0.1937,0,-0.0526,0.0305
7/1/2015,2.173,350627.85,2.578,3.46,1.44,1.96,20748,-0.049,-0.0066,0.0002,0,-0.2034,0
8/1/2015,2.196,407804.4,2.589,3.18,1.45,2.07,20559,0.1631,0.0043,-0.0801,0.0069,0.0544,-0.0091
9/1/2015,2.185,372991.5,2.633,3.47,1.47,2.23,20381,-0.0854,0.017,0.09,0.0138,0.0804,-0.0087
10/1/2015,2.206,358601.5,2.504,3.61,1.49,2.43,20228,-0.0386,-0.049,0.0401,0.0136,0.0906,-0.0075
11/1/2015,2.164,358423.45,2.539,2.86,1.48,2.16,20056,-0.0005,0.014,-0.2064,-0.0067,-0.1137,-0.0085
12/1/2015,2.221,321407.7,2.6,3.04,1.48,1.99,20596,-0.1033,0.024,0.0615,0,-0.0772,0.0269
1/1/2016,2.213,367208.8,2.494,3.99,1.5,2.05,20960,0.1425,-0.0408,0.3118,0.0135,0.0279,0.0177
2/1/2016,2.173,372744.3,2.479,3.39,1.49,2.29,21271,0.0151,-0.006,-0.149,-0.0067,0.1174,0.0148
3/1/2016,2.154,287231.25,2.635,3.53,1.51,2.4,21033,-0.2294,0.0629,0.0406,0.0134,0.0509,-0.0112
4/1/2016,2.138,343574.1,2.664,3.5,1.5,2.66,21755,0.1962,0.011,-0.0096,-0.0066,0.1054,0.0343
5/1/2016,2.143,400765.95,2.591,3.62,1.5,2.43,21603,0.1665,-0.0274,0.0348,0,-0.0869,-0.007
6/1/2016,2.147,355622.9,2.643,3.77,1.49,2.43,21509,-0.1126,0.0201,0.042,-0.0067,0.0023,-0.0044
7/1/2016,2.117,368696.85,2.644,3.34,1.5,2.45,21512,0.0368,0.0004,-0.1133,0.0067,0.0064,0.0001
8/1/2016,2.079,411366.85,2.703,3.67,1.5,2.38,21391,0.1157,0.0223,0.0987,0,-0.0253,-0.0056
9/1/2016,2.169,388958.5,2.675,3.17,1.49,2.38,21205,-0.0545,-0.0104,-0.1357,-0.0067,-0.0015,-0.0087
10/1/2016,2.067,417311.05,2.808,3.58,1.49,2.32,20922,0.0729,0.0497,0.129,0,-0.0272,-0.0133
11/1/2016,2.075,437050.2,2.834,3.71,1.51,2.63,20849,0.0473,0.0093,0.0354,0.0134,0.1368,-0.0035
12/1/2016,2.081,394217.15,2.724,3.13,1.48,2.9,21377,-0.098,-0.0388,-0.1564,-0.0199,0.1027,0.0253
1/1/2017,2.238,415422.7,2.997,3.19,1.48,2.98,21416,0.0538,0.1002,0.0193,0,0.0266,0.0018
2/1/2017,2.2,298974.95,2.941,3.29,1.48,3.11,21789,-0.2803,-0.0187,0.0308,0,0.042,0.0174
3/1/2017,2.198,373548.95,3.029,2.58,1.49,3.71,21068,0.2494,0.0299,-0.2168,0.0068,0.1949,-0.0331
4/1/2017,2.179,372040.9,2.961,2.56,1.48,3.83,21249,-0.004,-0.0224,-0.0078,-0.0067,0.0333,0.0086
5/1/2017,2.15,413021.3,3.04,3.27,1.49,3.47,21310,0.1102,0.0267,0.2785,0.0068,-0.0955,0.0029
6/1/2017,2.159,372272.1,3.113,2.82,1.49,2.88,21044,-0.0987,0.024,-0.138,0,-0.1703,-0.0125
7/1/2017,2.182,417090.75,2.866,3.02,1.49,2.26,21851,0.1204,-0.0793,0.0737,0,-0.2129,0.0383
8/1/2017,2.196,432479.15,2.824,2.69,1.5,3.06,21724,0.0369,-0.0147,-0.1109,0.0067,0.3511,-0.0058
9/1/2017,2.198,388670.05,2.495,2.84,1.46,2.85,22353,-0.1013,-0.1165,0.058,-0.0267,-0.0696,0.029
10/1/2017,2.236,383385,2.41,3.58,1.46,2.9,22167,-0.0136,-0.0341,0.2571,0,0.0197,-0.0083
11/1/2017,2.232,463690.9,2.444,2.89,1.45,2.47,22833,0.2095,0.0141,-0.1906,-0.0068,-0.1506,0.03
12/1/2017,2.253,385492.05,2.464,2.85,1.45,2.83,21855,-0.1686,0.0082,-0.0165,0,0.1473,-0.0428
1/1/2018,2.271,422831.95,2.525,2.95,1.45,2.93,21694,0.0969,0.0248,0.0363,0,0.0358,-0.0074
2/1/2018,2.257,383089.55,2.471,3.08,1.45,2.58,21341,-0.094,-0.0214,0.0441,0,-0.1199,-0.0163
3/1/2018,2.27,264460.05,2.57,3.27,1.45,2.95,21408,-0.3097,0.0401,0.0604,0,0.1452,0.0031
4/1/2018,2.231,361108.3,2.607,2.96,1.45,2.99,21856,0.3655,0.0144,-0.0945,0,0.0127,0.0209
5/1/2018,2.254,405586.8,2.541,3.35,1.44,2.94,22150,0.1232,-0.0253,0.1325,-0.0069,-0.0186,0.0135
6/1/2018,2.334,382964,2.517,3.23,1.45,2.69,22335,-0.0558,-0.0094,-0.0369,0.0069,-0.0854,0.0084
