Date,CASS,LA,AUTOINV,HH,RETAILINV,Gold,Computer,LAP,AUTOINVP,HHP,RETAILINVP,GoldP,ComputerP
1/1/2014,2.246,360036.6,2.918,4.85,1.46,2.16,21527,0,0,0,0,0,0
2/1/2014,2.237,284812.35,2.989,4.68,1.44,2.61,21232,-0.208935008,0.024331734,-0.035051546,-0.01369863,0.208333333,-0.013703721
3/1/2014,2.246,327497.05,2.791,4.84,1.43,3.22,21491,0.149869554,-0.066242891,0.034188034,-0.006944444,0.233716475,0.012198568
4/1/2014,2.268,364126.05,2.771,4.89,1.42,3.13,21631,0.111845282,-0.00716589,0.010330579,-0.006993007,-0.027950311,0.006514355
5/1/2014,2.314,351403.6,2.629,4.55,1.42,2.42,20753,-0.034939686,-0.051245038,-0.069529652,0,-0.226837061,-0.040589894
6/1/2014,2.311,382666.15,2.468,4.72,1.42,3,21947,0.088964797,-0.061240015,0.037362637,0,0.239669421,0.057533851
7/1/2014,2.295,363393.5,2.645,4.7,1.43,2.75,21247,-0.050364136,0.07171799,-0.004237288,0.007042254,-0.083333333,-0.03189502
8/1/2014,2.279,383551.35,2.503,4.62,1.43,2.57,21650,0.055471135,-0.0536862,-0.017021277,0,-0.065454545,0.018967384
9/1/2014,2.303,411506.95,2.613,4.43,1.43,2.21,21281,0.072886199,0.043947263,-0.041125541,0,-0.140077821,-0.01704388
10/1/2014,2.289,370938.2,2.565,4.63,1.43,2.29,20681,-0.09858582,-0.01836969,0.045146727,0,0.036199095,-0.028194164
11/1/2014,2.258,333152.95,2.575,4.46,1.43,2.29,19745,-0.101864003,0.003898635,-0.036717063,0,0,-0.045258933
12/1/2014,2.255,336674.95,2.522,4.75,1.45,2.24,19890,0.010571721,-0.020582524,0.065022422,0.013986014,-0.021834061,0.007343631
1/1/2015,2.252,259206.45,2.687,4.12,1.45,2.33,19611,-0.230098794,0.065424266,-0.132631579,0,0.040178571,-0.014027149
2/1/2015,2.231,254225.3,2.829,3.8,1.46,2.68,19500,-0.019216921,0.052847041,-0.077669903,0.006896552,0.150214592,-0.005660089
3/1/2015,2.282,430898.05,2.618,4.51,1.44,2.31,21158,0.694945586,-0.074584659,0.186842105,-0.01369863,-0.138059701,0.085025641
4/1/2015,2.218,328140.25,2.685,3.78,1.45,2.4,20550,-0.238473579,0.025592055,-0.161862528,0.006944444,0.038961039,-0.028736175
5/1/2015,2.245,348427,2.595,3.96,1.44,2.6,20094,0.061823412,-0.033519553,0.047619048,-0.006896552,0.083333333,-0.022189781
6/1/2015,2.253,368708.5,2.595,4.29,1.45,2.46,20834,0.05820875,0,0.083333333,0.006944444,-0.053846154,0.036826914
7/1/2015,2.173,350627.85,2.578,3.46,1.44,1.96,20857,-0.04903779,-0.00655106,-0.193473193,-0.006896552,-0.203252033,0.001103965
8/1/2015,2.196,407804.4,2.589,3.46,1.45,2.07,20550,0.163069049,0.004266874,0,0.006944444,0.056122449,-0.014719279
9/1/2015,2.185,372991.5,2.633,3.18,1.47,2.23,20457,-0.085366661,0.016994979,-0.080924855,0.013793103,0.077294686,-0.004525547
10/1/2015,2.206,358601.5,2.504,3.47,1.49,2.43,20227,-0.038579968,-0.048993543,0.091194969,0.013605442,0.089686099,-0.011243095
11/1/2015,2.164,358423.45,2.539,3.61,1.48,2.16,20043,-0.000496512,0.013977636,0.040345821,-0.006711409,-0.111111111,-0.009096752
12/1/2015,2.221,321407.7,2.6,2.86,1.48,1.99,20481,-0.103273795,0.024025207,-0.207756233,0,-0.078703704,0.021853016
1/1/2016,2.213,367208.8,2.494,3.04,1.5,2.05,20923,0.142501564,-0.040769231,0.062937063,0.013513514,0.030150754,0.021580977
2/1/2016,2.173,372744.3,2.479,3.99,1.49,2.29,21269,0.01507453,-0.006014435,0.3125,-0.006666667,0.117073171,0.016536826
3/1/2016,2.154,287231.25,2.635,3.39,1.51,2.4,21052,-0.229414776,0.0629286,-0.15037594,0.013422819,0.048034934,-0.010202642
4/1/2016,2.138,343574.1,2.664,3.53,1.51,2.66,21719,0.196158496,0.011005693,0.041297935,0,0.108333333,0.031683451
5/1/2016,2.143,400765.95,2.591,3.5,1.51,2.43,21631,0.166461471,-0.027402402,-0.008498584,0,-0.086466165,-0.004051752
6/1/2016,2.147,355622.9,2.643,3.62,1.49,2.43,21515,-0.11264193,0.020069471,0.034285714,-0.013245033,0,-0.005362674
7/1/2016,2.117,368696.85,2.644,3.77,1.5,2.45,21556,0.036763521,0.000378358,0.041436464,0.006711409,0.008230453,0.001905647
8/1/2016,2.079,411366.85,2.703,3.34,1.5,2.38,21449,0.115731935,0.022314675,-0.114058355,0,-0.028571429,-0.004963815
9/1/2016,2.169,388958.5,2.675,3.67,1.5,2.38,21152,-0.054472911,-0.010358861,0.098802395,0,0,-0.013846799
10/1/2016,2.067,417311.05,2.808,3.17,1.49,2.32,20980,0.072893509,0.049719626,-0.136239782,-0.006666667,-0.025210084,-0.008131619
11/1/2016,2.075,437050.2,2.834,3.58,1.51,2.63,20797,0.047300808,0.009259259,0.129337539,0.013422819,0.13362069,-0.008722593
12/1/2016,2.081,394217.15,2.724,3.71,1.48,2.9,21338,-0.098004874,-0.038814397,0.036312849,-0.01986755,0.102661597,0.026013367
1/1/2017,2.238,415422.7,2.982,3.13,1.48,2.98,21297,0.053791546,0.094713656,-0.156334232,0,0.027586207,-0.001921455
2/1/2017,2.200,298974.95,2.898,3.19,1.48,3.11,21660,-0.280311476,-0.028169014,0.019169329,0,0.043624161,0.017044654
3/1/2017,2.198,373548.95,3.009,3.29,1.49,3.71,21015,0.249432268,0.038302277,0.031347962,0.006756757,0.192926045,-0.029778393
4/1/2017,2.179,372040.9,2.926,2.58,1.48,3.83,21311,-0.004037088,-0.027583915,-0.215805471,-0.006711409,0.032345013,0.014085177
5/1/2017,2.150,413021.3,3.034,2.56,1.49,3.47,21260,0.110150255,0.036910458,-0.007751938,0.006756757,-0.093994778,-0.00239313
6/1/2017,2.159,372272.1,3.087,3.27,1.49,2.88,20951,-0.098661255,0.017468688,0.27734375,0,-0.170028818,-0.014534337
7/1/2017,2.182,417090.75,2.92,2.82,1.5,2.26,21871,0.120392181,-0.05409783,-0.137614679,0.006711409,-0.215277778,0.043911985
8/1/2017,2.196,432479.15,2.844,3.02,1.5,3.06,21755,0.036894609,-0.026027397,0.070921986,0,0.353982301,-0.005303827
9/1/2017,2.198,388670.05,2.524,2.69,1.46,2.85,22538,-0.1012976,-0.112517581,-0.109271523,-0.026666667,-0.068627451,0.035991726
10/1/2017,2.236,383385,2.466,2.84,1.46,2.9,22284,-0.01359778,-0.022979398,0.055762082,0,0.01754386,-0.011269855
11/1/2017,2.232,463690.9,2.523,3.58,1.45,2.47,22679,0.20946542,0.023114355,0.26056338,-0.006849315,-0.148275862,0.017725722
12/1/2017,2.253,385492.05,2.604,2.89,1.44,2.83,21932,-0.168644349,0.032104637,-0.19273743,-0.006896552,0.145748988,-0.03293796
1/1/2018,2.271,422831.95,2.607,2.85,1.45,2.93,21754,0.096862957,0.001152074,-0.01384083,0.006944444,0.035335689,-0.008115995
2/1/2018,2.257,383089.55,2.522,2.95,1.45,2.58,21881,-0.093991005,-0.032604526,0.035087719,0,-0.119453925,0.005838007
3/1/2018,2.270,264460.05,2.629,3.08,1.45,2.95,21657,-0.309665194,0.042426646,0.044067797,0,0.143410853,-0.010237192
4/1/2018,2.231,361108.3,2.665,3.27,1.45,2.99,22149,0.365455009,0.01369342,0.061688312,0,0.013559322,0.022717828
5/1/2018,2.254,405586.8,2.647,2.96,1.44,2.94,22405,0.12317219,-0.006754221,-0.094801223,-0.006896552,-0.016722408,0.011558084
6/1/2018,2.334,382964,2.579,3.35,1.45,2.69,22443,-0.055777949,-0.02568946,0.131756757,0.006944444,-0.085034014,0.00169605
7/1/2018,2.327,438164.55,2.489,3.23,1.45,2.09,22670,0.144140311,-0.034897247,-0.035820896,0,-0.223048327,0.010114512
8/1/2018,2.420,420573.25,2.471,3.15,1.46,2.2,22403,-0.040147703,-0.00723182,-0.024767802,0.006896552,0.052631579,-0.01177768
9/1/2018,2.423,414281.5,2.333,2.94,1.47,2.58,22058,-0.014959939,-0.055847835,-0.066666667,0.006849315,0.172727273,-0.015399723
10/1/2018,2.359,485823.55,2.103,3.69,1.46,2.51,22841,0.172689464,-0.098585512,0.255102041,-0.006802721,-0.027131783,0.035497325
11/1/2018,2.405,422792.65,2.253,3.49,1.45,2.21,22799,-0.129740314,0.071326676,-0.054200542,-0.006849315,-0.119521912,-0.001838799
12/1/2018,2.499,468905.85,2.282,3.5,1.49,2.1,22696,0.109068121,0.012871727,0.00286533,0.027586207,-0.049773756,-0.004517742
1/1/2019,2.454,429922.75,2.201,3.01,1.49,2.73,22888,-0.083136306,-0.03549518,-0.14,0,0.3,0.00845964
2/1/2019,2.432,348315.75,2.372,3.1,1.49,2.71,22732,-0.189817822,0.077691958,0.029900332,0,-0.007326007,-0.006815799
3/1/2019,2.433,297186.95,2.249,3.1,1.48,2.9,23076,-0.146788654,-0.051854975,0,-0.006711409,0.070110701,0.015132852
4/1/2019,2.448,360744.65,2.341,3.34,1.48,2.82,23425,0.213864371,0.04090707,0.077419355,0,-0.027586207,0.015123938
5/1/2019,2.374,427789,2.328,3.46,1.48,2.72,23172,0.18584988,-0.005553182,0.035928144,0,-0.035460993,-0.010800427
6/1/2019,2.486,396306.5,2.312,3.26,1.48,2.97,22952,-0.073593524,-0.006872852,-0.057803468,0,0.091911765,-0.009494217
7/1/2019,2.440,476438.2,2.333,3.32,1.47,2.92,22899,0.20219628,0.009083045,0.018404908,-0.006756757,-0.016835017,-0.002309167
8/1/2019,2.429,437613.25,2.288,3.24,1.46,2.72,22607,-0.081490002,-0.01928847,-0.024096386,-0.006802721,-0.068493151,-0.012751649
9/1/2019,2.393,402319.85,2.23,3.26,1.47,3.4,22561,-0.080649752,-0.02534965,0.00617284,0.006849315,0.25,-0.002034768
10/1/2019,2.404,392768.6,2.229,3.25,1.47,2.85,22249,-0.023740439,-0.00044843,-0.003067485,0,-0.161764706,-0.013829174
11/1/2019,2.452,371349.7,2.079,2.8,1.44,2.64,21985,-0.054533127,-0.067294751,-0.138461538,-0.020408163,-0.073684211,-0.011865702
12/1/2019,2.544,373511,1.861,2.91,1.42,2.84,22114,0.00582012,-0.104858105,0.039285714,-0.013888889,0.075757576,0.005867637
1/1/2020,2.491,414730.85,1.912,3.04,1.43,2.71,21947,0.110357794,0.027404621,0.04467354,0.007042254,-0.045774648,-0.007551777
2/1/2020,2.451,270025.05,1.907,3.1,1.42,3.15,21817,-0.348914965,-0.002615063,0.019736842,-0.006993007,0.162361624,-0.005923361
3/1/2020,2.458,220254.55,3.14,2.27,1.53,3.68,21641,-0.184318085,0.646565286,-0.267741935,0.077464789,0.168253968,-0.008067104
4/1/2020,2.590,370111,4.425,2.2,1.69,4.39,21522,0.680378453,0.409235669,-0.030837004,0.104575163,0.192934783,-0.005498822
5/1/2020,2.450,306323,2.948,2.93,1.35,4.59,21374,-0.172348296,-0.333785311,0.331818182,-0.201183432,0.045558087,-0.006876684
6/1/2020,2.471,369188.9,2.641,2.83,1.23,4.2,21599,0.205227489,-0.104138399,-0.034129693,-0.088888889,-0.08496732,0.010526808
7/1/2020,2.406,456028.7,2.287,2.95,1.22,4.47,21918,0.235217798,-0.134040136,0.042402827,-0.008130081,0.064285714,0.014769202
8/1/2020,2.496,516285.95,2.33,2.99,1.23,4.95,22021,0.132134776,0.018801924,0.013559322,0.008196721,0.10738255,0.004699334
9/1/2020,2.467,471794.5,2.14,3.35,1.23,4.4,22111,-0.086175984,-0.081545064,0.120401338,0,-0.111111111,0.004087008
10/1/2020,2.419,506613.2,2.093,3.06,1.25,4.23,22950,0.073800564,-0.021962617,-0.086567164,0.016260163,-0.038636364,0.037944914
11/1/2020,2.525,464819.7,2.04,3.73,1.27,4.32,22765,-0.082495877,-0.025322504,0.218954248,0.016,0.021276596,-0.008061002
12/1/2020,2.696,460865,2.07,3.42,1.27,4.39,22660,-0.00850803,0.014705882,-0.08310992,0,0.016203704,-0.004612344
1/1/2021,2.742,437609.2,1.942,4.22,1.22,4.61,22652,-0.050461198,-0.061835749,0.233918129,-0.039370079,0.050113895,-0.000353045
2/1/2021,2.751,412884.25,1.999,4.6,1.24,4.81,22483,-0.056500069,0.029351184,0.090047393,0.016393443,0.043383948,-0.00746071
3/1/2021,2.848,490115,1.564,4.73,1.1,4.75,22558,0.187051819,-0.217608804,0.02826087,-0.112903226,-0.012474012,0.003335854
4/1/2021,2.945,490126.85,1.285,4.63,1.09,4.59,22775,2.4178E-05,-0.178388747,-0.021141649,-0.009090909,-0.033684211,0.009619647
5/1/2021,2.714,535714.2,1.108,5,1.09,5.08,22546,0.09301133,-0.137743191,0.079913607,0,0.106753813,-0.010054885
