DATE,PCU483111483111
2014-01-01,263.0
2014-02-01,262.2
2014-03-01,262.1
2014-04-01,263.3
2014-05-01,264.0
2014-06-01,264.9
2014-07-01,262.6
2014-08-01,262.5
2014-09-01,262.3
2014-10-01,261.5
2014-11-01,261.1
2014-12-01,260.9
2015-01-01,259.9
2015-02-01,267.4
2015-03-01,268.1
2015-04-01,269.2
2015-05-01,269.1
2015-06-01,263.2
2015-07-01,258.9
2015-08-01,257.9
2015-09-01,252.6
2015-10-01,252.7
2015-11-01,249.2
2015-12-01,242.6
2016-01-01,240.0
2016-02-01,236.0
2016-03-01,238.4
2016-04-01,237.1
2016-05-01,237.7
2016-06-01,239.3
2016-07-01,237.0
2016-08-01,240.9
2016-09-01,240.9
2016-10-01,249.1
2016-11-01,249.7
2016-12-01,252.8
2017-01-01,254.9
2017-02-01,258.2
2017-03-01,256.8
2017-04-01,259.4
2017-05-01,262.2
2017-06-01,262.2
2017-07-01,264.1
2017-08-01,264.3
2017-09-01,264.7
2017-10-01,263.1
2017-11-01,272.5
2017-12-01,270.8
2018-01-01,275.1
2018-02-01,275.4
2018-03-01,275.6
2018-04-01,278.3
2018-05-01,286.6
2018-06-01,294.1
2018-07-01,300.8
2018-08-01,300.5
2018-09-01,301.1
2018-10-01,304.5
2018-11-01,305.2
2018-12-01,304.5
2019-01-01,307.2
2019-02-01,306.5
2019-03-01,308.2
2019-04-01,309.5
2019-05-01,310.2
2019-06-01,309.3
2019-07-01,313.7
2019-08-01,304.2
2019-09-01,305.0
2019-10-01,302.9
2019-11-01,316.9
2019-12-01,320.6
2020-01-01,320.8
2020-02-01,304.1
2020-03-01,302.1
2020-04-01,286.9
2020-05-01,287.0
2020-06-01,287.8
2020-07-01,288.6
2020-08-01,288.8
2020-09-01,288.2
2020-10-01,284.3
2020-11-01,281.1
2020-12-01,284.0
2021-01-01,286.3
2021-02-01,294.3
2021-03-01,299.9
2021-04-01,309.5
2021-05-01,322.9
2021-06-01,336.9
2021-07-01,340.299
2021-08-01,334.857
2021-09-01,346.891
2021-10-01,356.860
2021-11-01,353.440
2021-12-01,365.693
2022-01-01,367.044
2022-02-01,367.258
2022-03-01,356.218
2022-04-01,396.763
2022-05-01,467.249
