DATE,A34SNO
2014-01-01,21527
2014-02-01,21232
2014-03-01,21491
2014-04-01,21631
2014-05-01,20753
2014-06-01,21947
2014-07-01,21247
2014-08-01,21650
2014-09-01,21281
2014-10-01,20681
2014-11-01,19745
2014-12-01,19890
2015-01-01,19611
2015-02-01,19500
2015-03-01,21158
2015-04-01,20550
2015-05-01,20094
2015-06-01,20834
2015-07-01,20857
2015-08-01,20550
2015-09-01,20457
2015-10-01,20227
2015-11-01,20043
2015-12-01,20481
2016-01-01,20923
2016-02-01,21269
2016-03-01,21052
2016-04-01,21719
2016-05-01,21631
2016-06-01,21515
2016-07-01,21556
2016-08-01,21449
2016-09-01,21152
2016-10-01,20980
2016-11-01,20797
2016-12-01,21338
2017-01-01,21297
2017-02-01,21660
2017-03-01,21015
2017-04-01,21311
2017-05-01,21260
2017-06-01,20951
2017-07-01,21871
2017-08-01,21755
2017-09-01,22538
2017-10-01,22284
2017-11-01,22679
2017-12-01,21932
2018-01-01,21754
2018-02-01,21881
2018-03-01,21657
2018-04-01,22149
2018-05-01,22405
2018-06-01,22443
2018-07-01,22670
2018-08-01,22403
2018-09-01,22058
2018-10-01,22841
2018-11-01,22799
2018-12-01,22696
2019-01-01,22888
2019-02-01,22732
2019-03-01,23076
2019-04-01,23425
2019-05-01,23172
2019-06-01,22952
2019-07-01,22899
2019-08-01,22607
2019-09-01,22561
2019-10-01,22249
2019-11-01,21985
2019-12-01,22114
2020-01-01,21947
2020-02-01,21817
2020-03-01,21641
2020-04-01,21522
2020-05-01,21374
2020-06-01,21599
2020-07-01,21918
2020-08-01,22021
2020-09-01,22111
2020-10-01,22950
2020-11-01,22765
2020-12-01,22660
2021-01-01,22652
2021-02-01,22483
2021-03-01,22558
2021-04-01,22775
2021-05-01,22546
2021-06-01,22791
2021-07-01,22720
2021-08-01,23271
2021-09-01,22970
2021-10-01,22931
2021-11-01,23936
2021-12-01,23611
2022-01-01,23746
2022-02-01,23325
2022-03-01,23742
2022-04-01,23742
2022-05-01,23860
