Date,HHSE
1/1/2014,4.85
2/1/2014,4.68
3/1/2014,4.84
4/1/2014,4.89
5/1/2014,4.55
6/1/2014,4.72
7/1/2014,4.7
8/1/2014,4.62
9/1/2014,4.43
10/1/2014,4.63
11/1/2014,4.46
12/1/2014,4.75
1/1/2015,4.12
2/1/2015,3.8
3/1/2015,4.51
4/1/2015,3.78
5/1/2015,3.96
6/1/2015,4.29
7/1/2015,3.46
8/1/2015,3.46
9/1/2015,3.18
10/1/2015,3.47
11/1/2015,3.61
12/1/2015,2.86
1/1/2016,3.04
2/1/2016,3.99
3/1/2016,3.39
4/1/2016,3.53
5/1/2016,3.5
6/1/2016,3.62
7/1/2016,3.77
8/1/2016,3.34
9/1/2016,3.67
10/1/2016,3.17
11/1/2016,3.58
12/1/2016,3.71
1/1/2017,3.13
2/1/2017,3.19
3/1/2017,3.29
4/1/2017,2.58
5/1/2017,2.56
6/1/2017,3.27
7/1/2017,2.82
8/1/2017,3.02
9/1/2017,2.69
10/1/2017,2.84
11/1/2017,3.58
12/1/2017,2.89
1/1/2018,2.85
2/1/2018,2.95
3/1/2018,3.08
4/1/2018,3.27
5/1/2018,2.96
6/1/2018,3.35
7/1/2018,3.23
8/1/2018,3.15
9/1/2018,2.94
10/1/2018,3.69
11/1/2018,3.49
12/1/2018,3.5
1/1/2019,3.01
2/1/2019,3.1
3/1/2019,3.1
4/1/2019,3.34
5/1/2019,3.46
6/1/2019,3.26
7/1/2019,3.32
8/1/2019,3.24
9/1/2019,3.26
10/1/2019,3.25
11/1/2019,2.8
12/1/2019,2.91
1/1/2020,3.04
2/1/2020,3.1
3/1/2020,2.27
4/1/2020,2.2
5/1/2020,2.93
6/1/2020,2.83
7/1/2020,2.95
8/1/2020,2.99
9/1/2020,3.35
10/1/2020,3.06
11/1/2020,3.73
12/1/2020,3.42
1/1/2021,4.22
2/1/2021,4.6
3/1/2021,4.73
4/1/2021,4.63
5/1/2021,5
6/1/2021,5.21
7/1/2021,5.07
8/1/2021,5.04
9/1/2021,4.98
10/1/2021,5.38
11/1/2021,5.73
12/1/2021,5.53
1/1/2022,5.54
2/1/2022,6.39
3/1/2022,7.73
4/1/2022,7.96
5/1/2022,9
