DATE,RETAILSMSA
2014-01-01,373327
2014-02-01,378580
2014-03-01,382404
2014-04-01,386507
2014-05-01,386929
2014-06-01,387863
2014-07-01,388261
2014-08-01,391217
2014-09-01,389680
2014-10-01,390597
2014-11-01,391592
2014-12-01,388223
2015-01-01,385558
2015-02-01,385104
2015-03-01,391056
2015-04-01,391375
2015-05-01,394332
2015-06-01,394859
2015-07-01,398128
2015-08-01,397710
2015-09-01,396112
2015-10-01,394425
2015-11-01,396141
2015-12-01,397244
2016-01-01,394576
2016-02-01,398149
2016-03-01,396959
2016-04-01,398099
2016-05-01,399909
2016-06-01,404677
2016-07-01,403648
2016-08-01,403861
2016-09-01,406384
2016-10-01,407253
2016-11-01,405872
2016-12-01,413211
2017-01-01,416024
2017-02-01,416011
2017-03-01,414942
2017-04-01,416702
2017-05-01,414274
2017-06-01,416360
2017-07-01,416487
2017-08-01,417014
2017-09-01,426455
2017-10-01,426656
2017-11-01,430967
2017-12-01,434129
2018-01-01,431785
2018-02-01,434631
2018-03-01,433239
2018-04-01,435061
2018-05-01,439759
2018-06-01,437527
2018-07-01,440422
2018-08-01,439876
2018-09-01,439346
2018-10-01,444148
2018-11-01,445807
2018-12-01,436884
2019-01-01,439793
2019-02-01,440875
2019-03-01,446954
2019-04-01,447230
2019-05-01,448985
2019-06-01,448992
2019-07-01,453667
2019-08-01,455967
2019-09-01,452048
2019-10-01,453451
2019-11-01,455933
2019-12-01,458923
2020-01-01,456113
2020-02-01,457898
2020-03-01,432392
2020-04-01,375918
2020-05-01,442045
2020-06-01,472249
2020-07-01,481169
2020-08-01,482391
2020-09-01,492700
2020-10-01,490826
2020-11-01,486833
2020-12-01,488876
2021-01-01,513269
2021-02-01,503650
2021-03-01,558369
2021-04-01,555865
2021-05-01,550179
2021-06-01,550638
2021-07-01,543355
2021-08-01,546946
2021-09-01,552617
2021-10-01,562296
2021-11-01,565690
2021-12-01,556810
2022-01-01,576000
2022-02-01,581768
2022-03-01,587570
2022-04-01,590259
