DATE,T5YIE
2014-01-01,1.72
2014-02-01,1.79
2014-03-01,1.70
2014-04-01,1.96
2014-05-01,1.93
2014-06-01,2.00
2014-07-01,1.97
2014-08-01,1.76
2014-09-01,1.56
2014-10-01,1.53
2014-11-01,1.39
2014-12-01,1.27
2015-01-01,1.29
2015-02-01,1.49
2015-03-01,1.51
2015-04-01,1.72
2015-05-01,1.57
2015-06-01,1.61
2015-07-01,1.36
2015-08-01,1.26
2015-09-01,1.07
2015-10-01,1.20
2015-11-01,1.30
2015-12-01,1.31
2016-01-01,1.19
2016-02-01,1.23
2016-03-01,1.49
2016-04-01,1.60
2016-05-01,1.47
2016-06-01,1.38
2016-07-01,1.31
2016-08-01,1.27
2016-09-01,1.45
2016-10-01,1.59
2016-11-01,1.77
2016-12-01,1.84
2017-01-01,1.94
2017-02-01,1.89
2017-03-01,1.77
2017-04-01,1.81
2017-05-01,1.72
2017-06-01,1.63
2017-07-01,1.67
2017-08-01,1.58
2017-09-01,1.68
2017-10-01,1.79
2017-11-01,1.73
2017-12-01,1.86
2018-01-01,1.98
2018-02-01,2.04
2018-03-01,1.92
2018-04-01,2.1
2018-05-01,2.03
2018-06-01,2.06
2018-07-01,2.0
2018-08-01,1.98
2018-09-01,2.03
2018-10-01,1.9
2018-11-01,1.77
2018-12-01,1.51
2019-01-01,1.7
2019-02-01,1.84
2019-03-01,1.78
2019-04-01,1.85
2019-05-01,1.58
2019-06-01,1.53
2019-07-01,1.56
2019-08-01,1.35
2019-09-01,1.35
2019-10-01,1.44
2019-11-01,1.5
2019-12-01,1.68
2020-01-01,1.6
2020-02-01,1.33
2020-03-01,0.49
2020-04-01,0.72
2020-05-01,0.83
2020-06-01,1.16
2020-07-01,1.4
2020-08-01,1.69
2020-09-01,1.5
2020-10-01,1.59
2020-11-01,1.68
2020-12-01,1.95
2021-01-01,2.21
2021-02-01,2.39
2021-03-01,2.54
2021-04-01,2.57
2021-05-01,2.57
2021-06-01,2.47
2021-07-01,2.56
2021-08-01,2.48
2021-09-01,2.51
2021-10-01,2.89
2021-11-01,2.8
2021-12-01,2.87
2022-01-01,2.82
2022-02-01,3.11
2022-03-01,3.34
2022-04-01,3.3
2022-05-01,2.96
2022-06-01,2.58
