DATE,WPU3012
1/1/2014,114.1
2/1/2014,114.2
3/1/2014,114.6
4/1/2014,115.6
5/1/2014,116.1
6/1/2014,116.2
7/1/2014,116.4
8/1/2014,116.4
9/1/2014,115.9
10/1/2014,115.4
11/1/2014,115.4
12/1/2014,115.3
1/1/2015,113.9
2/1/2015,113.1
3/1/2015,113.6
4/1/2015,113.4
5/1/2015,113.9
6/1/2015,114
7/1/2015,113.9
8/1/2015,113.2
9/1/2015,112.9
10/1/2015,112.6
11/1/2015,113.3
12/1/2015,112.8
1/1/2016,112.5
2/1/2016,112.2
3/1/2016,111.9
4/1/2016,112.2
5/1/2016,112.3
6/1/2016,111.6
7/1/2016,111.8
8/1/2016,111.8
9/1/2016,111.7
10/1/2016,112.5
11/1/2016,112.8
12/1/2016,113
1/1/2017,113.2
2/1/2017,113.5
3/1/2017,113.3
4/1/2017,113.4
5/1/2017,113.8
6/1/2017,114
7/1/2017,114.3
8/1/2017,115.2
9/1/2017,116.2
10/1/2017,116.2
11/1/2017,117.4
12/1/2017,118.1
1/1/2018,118.8
2/1/2018,119.5
3/1/2018,119.6
4/1/2018,120
5/1/2018,121
6/1/2018,122.9
7/1/2018,123.6
8/1/2018,123.8
9/1/2018,124.7
10/1/2018,125.7
11/1/2018,125.8
12/1/2018,125.8
1/1/2019,125.7
2/1/2019,125.2
3/1/2019,125
4/1/2019,124.9
5/1/2019,125.4
6/1/2019,125.8
7/1/2019,125.3
8/1/2019,125.3
9/1/2019,125.1
10/1/2019,125.4
11/1/2019,126
12/1/2019,125.8
1/1/2020,126
2/1/2020,125.6
3/1/2020,124.7
4/1/2020,123.2
5/1/2020,120.6
6/1/2020,121.4
7/1/2020,123.8
8/1/2020,124.5
9/1/2020,124.5
10/1/2020,126.2
11/1/2020,127.5
12/1/2020,128.6
1/1/2021,129.8
2/1/2021,131.8
3/1/2021,133.8
4/1/2021,136
5/1/2021,138.1
6/1/2021,139.3
7/1/2021,140.718
8/1/2021,141.892
9/1/2021,143.747
10/1/2021,146.798
11/1/2021,150.387
12/1/2021,151.618
1/1/2022,154.787
2/1/2022,157.999
3/1/2022,166.089
4/1/2022,168.892
5/1/2022,173.755
