Date,CASS A,CASS B,CASS C,CASS D,PPI A,PPI B,PPI C,PPI D
2014-01-01,2.246,2.246,2.246,2.246,263.0,263.0,263.0,263.0
2014-02-01,2.237,2.237,2.237,2.237,262.2,262.2,262.2,262.2
2014-03-01,2.246,2.246,2.246,2.246,262.1,262.1,262.1,262.1
2014-04-01,2.268,2.268,2.268,2.268,263.3,263.3,263.3,263.3
2014-05-01,2.314,2.314,2.314,2.314,264.0,264.0,264.0,264.0
2014-06-01,2.311,2.311,2.311,2.311,264.9,264.9,264.9,264.9
2014-07-01,2.295,2.295,2.295,2.295,262.6,262.6,262.6,262.6
2014-08-01,2.279,2.279,2.279,2.279,262.5,262.5,262.5,262.5
2014-09-01,2.303,2.303,2.303,2.303,262.3,262.3,262.3,262.3
2014-10-01,2.289,2.289,2.289,2.289,261.5,261.5,261.5,261.5
2014-11-01,2.258,2.258,2.258,2.258,261.1,261.1,261.1,261.1
2014-12-01,2.255,2.255,2.255,2.255,260.9,260.9,260.9,260.9
2015-01-01,2.252,2.252,2.252,2.252,259.9,259.9,259.9,259.9
2015-02-01,2.231,2.231,2.231,2.231,267.4,267.4,267.4,267.4
2015-03-01,2.282,2.282,2.282,2.282,268.1,268.1,268.1,268.1
2015-04-01,2.218,2.218,2.218,2.218,269.2,269.2,269.2,269.2
2015-05-01,2.245,2.245,2.245,2.245,269.1,269.1,269.1,269.1
2015-06-01,2.253,2.253,2.253,2.253,263.2,263.2,263.2,263.2
2015-07-01,2.173,2.173,2.173,2.173,258.9,258.9,258.9,258.9
2015-08-01,2.196,2.196,2.196,2.196,257.9,257.9,257.9,257.9
2015-09-01,2.185,2.185,2.185,2.185,252.6,252.6,252.6,252.6
2015-10-01,2.206,2.206,2.206,2.206,252.7,252.7,252.7,252.7
2015-11-01,2.164,2.164,2.164,2.164,249.2,249.2,249.2,249.2
2015-12-01,2.221,2.221,2.221,2.221,242.6,242.6,242.6,242.6
2016-01-01,2.213,2.213,2.213,2.213,240.0,240.0,240.0,240.0
2016-02-01,2.173,2.173,2.173,2.173,236.0,236.0,236.0,236.0
2016-03-01,2.154,2.154,2.154,2.154,238.4,238.4,238.4,238.4
2016-04-01,2.138,2.138,2.138,2.138,237.1,237.1,237.1,237.1
2016-05-01,2.143,2.143,2.143,2.143,237.7,237.7,237.7,237.7
2016-06-01,2.147,2.147,2.147,2.147,239.3,239.3,239.3,239.3
2016-07-01,2.117,2.117,2.117,2.117,237.0,237.0,237.0,237.0
2016-08-01,2.079,2.079,2.079,2.079,240.9,240.9,240.9,240.9
2016-09-01,2.169,2.169,2.169,2.169,240.9,240.9,240.9,240.9
2016-10-01,2.067,2.067,2.067,2.067,249.1,249.1,249.1,249.1
2016-11-01,2.075,2.075,2.075,2.075,249.7,249.7,249.7,249.7
2016-12-01,2.081,2.081,2.081,2.081,252.8,252.8,252.8,252.8
2017-01-01,2.238,2.238,2.238,2.238,254.9,254.9,254.9,254.9
2017-02-01,2.2,2.2,2.2,2.2,258.2,258.2,258.2,258.2
2017-03-01,2.198,2.198,2.198,2.198,256.8,256.8,256.8,256.8
2017-04-01,2.179,2.179,2.179,2.179,259.4,259.4,259.4,259.4
2017-05-01,2.15,2.15,2.15,2.15,262.2,262.2,262.2,262.2
2017-06-01,2.159,2.159,2.159,2.159,262.2,262.2,262.2,262.2
2017-07-01,2.182,2.182,2.182,2.182,264.1,264.1,264.1,264.1
2017-08-01,2.196,2.196,2.196,2.196,264.3,264.3,264.3,264.3
2017-09-01,2.198,2.198,2.198,2.198,264.7,264.7,264.7,264.7
2017-10-01,2.236,2.236,2.236,2.236,263.1,263.1,263.1,263.1
2017-11-01,2.232,2.232,2.232,2.232,272.5,272.5,272.5,272.5
2017-12-01,2.253,2.253,2.253,2.253,270.8,270.8,270.8,270.8
2018-01-01,2.271,2.271,2.271,2.271,275.1,275.1,275.1,275.1
2018-02-01,2.257,2.257,2.257,2.257,275.4,275.4,275.4,275.4
2018-03-01,2.27,2.27,2.27,2.27,275.6,275.6,275.6,275.6
2018-04-01,2.231,2.231,2.231,2.231,278.3,278.3,278.3,278.3
2018-05-01,2.254,2.254,2.254,2.254,286.6,286.6,286.6,286.6
2018-06-01,2.334,2.334,2.334,2.334,294.1,294.1,294.1,294.1
2018-07-01,2.327,2.327,2.327,2.327,300.8,300.8,300.8,300.8
2018-08-01,2.42,2.42,2.42,2.42,300.5,300.5,300.5,300.5
2018-09-01,2.423,2.423,2.423,2.423,301.1,301.1,301.1,301.1
2018-10-01,2.359,2.359,2.359,2.359,304.5,304.5,304.5,304.5
2018-11-01,2.405,2.405,2.405,2.405,305.2,305.2,305.2,305.2
2018-12-01,2.499,2.499,2.499,2.499,304.5,304.5,304.5,304.5
2019-01-01,2.454,2.454,2.454,2.454,307.2,307.2,307.2,307.2
2019-02-01,2.432,2.432,2.432,2.432,306.5,306.5,306.5,306.5
2019-03-01,2.433,2.433,2.433,2.433,308.2,308.2,308.2,308.2
2019-04-01,2.448,2.448,2.448,2.448,309.5,309.5,309.5,309.5
2019-05-01,2.374,2.374,2.374,2.374,310.2,310.2,310.2,310.2
2019-06-01,2.486,2.486,2.486,2.486,309.3,309.3,309.3,309.3
2019-07-01,2.44,2.44,2.44,2.44,313.7,313.7,313.7,313.7
2019-08-01,2.429,2.429,2.429,2.429,304.2,304.2,304.2,304.2
2019-09-01,2.393,2.393,2.393,2.393,305.0,305.0,305.0,305.0
2019-10-01,2.404,2.404,2.404,2.404,302.9,302.9,302.9,302.9
2019-11-01,2.452,2.452,2.452,2.452,316.9,316.9,316.9,316.9
2019-12-01,2.544,2.544,2.544,2.544,320.6,320.6,320.6,320.6
2020-01-01,2.491,2.491,2.491,2.491,320.8,320.8,320.8,320.8
2020-02-01,2.451,2.451,2.451,2.451,304.1,304.1,304.1,304.1
2020-03-01,2.458,2.458,2.458,2.458,302.1,302.1,302.1,302.1
2020-04-01,2.59,2.59,2.59,2.59,286.9,286.9,286.9,286.9
2020-05-01,2.45,2.45,2.45,2.45,287.0,287.0,287.0,287.0
2020-06-01,2.471,2.471,2.471,2.471,287.8,287.8,287.8,287.8
2020-07-01,2.406,2.406,2.406,2.406,288.6,288.6,288.6,288.6
2020-08-01,2.496,2.496,2.496,2.496,288.8,288.8,288.8,288.8
2020-09-01,2.467,2.467,2.467,2.467,288.2,288.2,288.2,288.2
2020-10-01,2.419,2.419,2.419,2.419,284.3,284.3,284.3,284.3
2020-11-01,2.525,2.525,2.525,2.525,281.1,281.1,281.1,281.1
2020-12-01,2.696,2.696,2.696,2.696,284.0,284.0,284.0,284.0
2021-01-01,2.742,2.742,2.742,2.742,286.3,286.3,286.3,286.3
2021-02-01,2.751,2.751,2.751,2.751,294.3,294.3,294.3,294.3
2021-03-01,2.848,2.848,2.848,2.848,299.9,299.9,299.9,299.9
2021-04-01,2.945,2.945,2.945,2.945,309.5,309.5,309.5,309.5
2021-05-01,2.714,2.714,2.714,2.714,322.9,322.9,322.9,322.9
2021-06-01,3.049,3.049,3.049,3.049,336.9,336.9,336.9,336.9
2021-07-01,2.979,2.979,2.979,2.979,340.299,340.299,340.299,340.299
2021-08-01,3.161,3.161,3.161,3.161,334.857,334.857,334.857,334.857
2021-09-01,3.242,3.242,3.242,3.242,346.891,346.891,346.891,346.891
2021-10-01,3.294,3.294,3.294,3.294,356.86,356.86,356.86,356.86
2021-11-01,3.475,3.475,3.475,3.475,353.44,353.44,353.44,353.44
2021-12-01,3.596,3.596,3.596,3.596,365.693,365.693,365.693,365.693
2022-01-01,3.704,3.704,3.704,3.704,367.044,367.044,367.044,367.044
