Date,PPI A,PPI B,PPI C,PPI D
2022-05-01,400.2923843036856,400.82907599733045,400.96764810613297,401.59671167001636
2022-06-01,403.33026197699706,404.40855602519656,404.68464585745846,405.9523075769657
2022-07-01,406.3799623401979,408.00473644554455,408.4171763799686,410.33302354546885
2022-08-01,409.4414110281648,411.61750756900074,412.165012955588,414.7386838707086
2022-09-01,412.51453069566253,415.2467542950943,415.9279195634177,419.1691017787334
2022-10-01,415.59924095883395,418.8923559872543,419.7056506534336,423.62407911679077
2022-11-01,411.3610642035655,415.3477901673783,416.3748623021439,420.4793103101491
2022-12-01,407.1561664497092,411.82609485021663,413.064175204078,417.351226444251
2023-01-01,402.98430472275635,408.3271357527883,409.77347993718155,414.2397637252661
2023-02-01,391.986204232786,399.2317559412477,401.1460529555674,406.2770429316265
2023-03-01,381.240193336782,390.3095027411165,392.67596160751737,398.4478011526205
2023-04-01,370.7400024666853,381.5567012003811,384.3599532007522,390.7494826735415
2023-05-01,365.73699134441347,376.4949175335243,379.5012621454519,385.83897976123353
2023-06-01,360.79569968064254,371.49512541963674,374.69899193692163,380.98393657739257
2023-07-01,355.9150768187396,366.5563388205254,369.9523041104229,376.18358726652116
2023-08-01,351.09409729306515,361.67759215890754,365.2603762878375,371.43717917416484
2023-09-01,346.33176010280346,356.85793981789624,360.62240181374995,366.74397257924784
2023-10-01,341.6270880078723,352.09645565357687,356.037589400364,362.10324043229855
2023-11-01,338.6374069324305,349.44759562711135,353.79733161906114,360.26968755406403
2023-12-01,335.6702847599166,346.8163148168579,351.5702425725948,358.4453426310176
2024-01-01,332.7254852624783,344.20245226020484,349.3562056489396,356.6301307701836
2024-02-01,329.8027759579911,341.605849148217,347.1551057565078,354.82397796616914
2024-03-01,326.9019280361604,339.02634879038067,344.96682930098,353.0268110893028
2024-04-01,324.0227162861538,336.4637965799559,342.7912641624991,351.23855787393495
2024-05-01,321.16491902573034,333.91803995992336,340.62829967321943,349.4591469068953
